f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	pred	pred	SVM(minus)	SVM(plus)	Random Forest(minus)	Random Forest(plus)	kNN(minus)	kNN(plus)	SVM	Random Forest	kNN
-1	0.0338468	0.000430516	-1	0.037981	0.000401041	-0.876543	0.0385985	0.000363784	-0.752066	0.0323601	0.000334421	-0.656805	0.0301482	0.000359275	-0.635556	0.0305928	0.00035668	-0.640138	0.0293631	0.000353997	-0.639889	0.0300122	0.000407324	-0.619048	0.0315393	0.000483681	~	?	0.022	0.978	0.128	0.872	0.000	1.000	plus	plus	plus
-0.56	0.169572	0.00603496	-0.591837	0.142203	0.00747657	-0.617284	0.119397	0.0082124	-0.603306	0.107188	0.00725649	-0.585799	0.0946018	0.00676874	-0.577778	0.0894373	0.0063124	-0.553633	0.0932243	0.00683463	-0.520776	0.101162	0.00660455	-0.494331	0.104871	0.00671656	~	?	0.978	0.022	0.970	0.030	1.000	0.000	minus	minus	minus
-0.32	0.171337	0.00866443	-0.367347	0.136095	0.00700795	-0.54321	0.120735	0.00582105	-0.636364	0.11118	0.00511556	-0.710059	0.0992632	0.00429231	-0.76	0.0885991	0.00364093	-0.761246	0.0908138	0.00310702	-0.698061	0.0914528	0.00326957	-0.60771	0.0890771	0.00336398	~	?	0.975	0.025	0.838	0.162	1.000	0.000	minus	minus	minus
-1	0.0718457	0.0014728	-0.836735	0.0827529	0.00177918	-0.777778	0.0813353	0.00163858	-0.785124	0.0830774	0.0020174	-0.751479	0.0848171	0.00210975	-0.724444	0.0856713	0.00229518	-0.643599	0.0863554	0.00287586	-0.570637	0.0846483	0.00311013	-0.517007	0.0855787	0.00338906	~	?	0.602	0.398	0.485	0.515	0.000	1.000	minus	minus	plus
-0.52	0.16202	0.0114523	-0.428571	0.123003	0.0109839	-0.45679	0.105704	0.0101989	-0.421488	0.105659	0.011476	-0.331361	0.101822	0.0102879	-0.284444	0.0969976	0.00936762	-0.287197	0.0935828	0.00875261	-0.31856	0.0914793	0.00822839	-0.319728	0.0906203	0.00752281	~	?	0.960	0.040	1.000	0.000	0.992	0.008	minus	minus	minus
-1	0.0947523	0.00232424	-0.918367	0.0984757	0.00339585	-0.82716	0.08542	0.00235704	-0.702479	0.080414	0.00212861	-0.64497	0.0785038	0.00188669	-0.608889	0.0745542	0.00180151	-0.577855	0.0722028	0.0017871	-0.540166	0.0715383	0.0017336	-0.52381	0.0705394	0.00167197	~	?	0.047	0.953	0.320	0.680	0.000	1.000	plus	plus	plus
-0.6	0.0479374	0.000197892	-0.306122	0.0521493	0.000523628	-0.0617284	0.0471674	0.000667973	0.107438	0.0429219	0.000861805	0.254438	0.0409853	0.00105329	0.368889	0.039362	0.00111318	0.425606	0.0387805	0.00114891	0.451524	0.0377371	0.00116666	0.455782	0.0371459	0.00119873	~	?	0.030	0.970	0.060	0.940	0.000	1.000	plus	plus	plus
-1	0.0766573	0.00230536	-0.959184	0.0769165	0.00221587	-0.802469	0.0729779	0.00167141	-0.669421	0.0689742	0.00157892	-0.56213	0.0638595	0.00175113	-0.466667	0.0596568	0.00177885	-0.439446	0.0569078	0.0016779	-0.440443	0.0546789	0.00153522	-0.446712	0.0526655	0.00144451	~	?	0.122	0.878	0.524	0.476	0.009	0.991	plus	minus	plus
-0.68	0.1056	0.00214096	-0.632653	0.084804	0.00276828	-0.654321	0.0721836	0.0028086	-0.636364	0.065039	0.00278682	-0.633136	0.0599689	0.00260498	-0.608889	0.0564487	0.00243856	-0.598616	0.0547205	0.00234249	-0.601108	0.0547643	0.00219854	-0.632653	0.0550801	0.00217911	~	?	0.680	0.320	0.771	0.229	0.549	0.451	minus	minus	minus
-1	0.053077	0.000725328	-1	0.0700219	0.00125703	-0.962963	0.07739	0.00130657	-0.900826	0.0735086	0.00127449	-0.881657	0.0698012	0.00120182	-0.866667	0.0695257	0.00124277	-0.82699	0.0705304	0.001345	-0.770083	0.0693284	0.0013485	-0.70068	0.0670383	0.00136856	~	?	0.996	0.004	0.765	0.235	1.000	0.000	minus	minus	minus
0	0.0224395	0.00123644	-0.0612245	0.0413769	0.00350112	-0.135802	0.0590012	0.00526669	-0.231405	0.0735886	0.0064529	-0.313609	0.0864531	0.0076168	-0.373333	0.0946699	0.00772888	-0.449827	0.100471	0.00787419	-0.498615	0.104542	0.00823423	-0.521542	0.103742	0.00799733	~	?	0.957	0.043	0.996	0.004	1.000	0.000	minus	minus	minus
-0.84	0.106166	0.00299507	-0.755102	0.0988075	0.00269987	-0.654321	0.0836647	0.00252346	-0.553719	0.0774701	0.00285316	-0.491124	0.076907	0.00299914	-0.457778	0.0739022	0.00225315	-0.446367	0.0702033	0.00202907	-0.445983	0.0678902	0.00190184	-0.469388	0.0659021	0.00171219	~	?	0.037	0.963	0.157	0.843	0.000	1.000	plus	plus	plus
-0.84	0.125832	0.00250357	-0.510204	0.119544	0.00349569	-0.358025	0.0964991	0.0030063	-0.256198	0.0834871	0.00288074	-0.230769	0.0781112	0.00248086	-0.271111	0.0753464	0.0021738	-0.342561	0.0749906	0.00203834	-0.390582	0.0733738	0.00183069	-0.442177	0.0692146	0.00172683	~	?	0.026	0.974	0.195	0.805	0.000	1.000	plus	plus	plus
-0.04	0.134487	0.00556272	-0.22449	0.131661	0.00492692	-0.308642	0.120403	0.00509354	-0.371901	0.110041	0.00474492	-0.325444	0.101775	0.00419828	-0.271111	0.0936637	0.00405339	-0.197232	0.0878728	0.00370994	-0.235457	0.0845454	0.00342978	-0.251701	0.0807041	0.00323436	~	?	0.057	0.943	0.265	0.735	0.000	1.000	plus	plus	plus
-0.56	0.112976	0.0012479	-0.428571	0.0869151	0.00217803	-0.37037	0.0717432	0.00231865	-0.38843	0.0708456	0.00233286	-0.431953	0.0718791	0.00232277	-0.413333	0.0711651	0.00223074	-0.418685	0.0749917	0.00204315	-0.454294	0.0819965	0.00280185	-0.505669	0.0907641	0.00354196	~	?	0.953	0.047	0.344	0.656	0.943	0.057	minus	plus	minus
-0.72	0.0709606	0.000907553	-0.653061	0.066656	0.000700048	-0.703704	0.0770397	0.00124742	-0.752066	0.0821859	0.00160779	-0.763314	0.0853785	0.00183819	-0.724444	0.0864465	0.00215237	-0.688581	0.0837481	0.00239117	-0.6759	0.0813581	0.00248571	-0.662132	0.0765561	0.00251976	~	?	0.998	0.002	0.848	0.152	1.000	0.000	minus	minus	minus
-0.44	0.0573137	0.000555021	-0.265306	0.0639536	0.000946225	-0.111111	0.0626921	0.000983609	-0.0413223	0.055625	0.00103526	-0.0177515	0.0561739	0.000982955	-0.0222222	0.0591134	0.00120039	-0.0484429	0.0598029	0.0013	-0.0886427	0.0599695	0.00128885	-0.136054	0.0578688	0.00126412	~	?	0.007	0.993	0.091	0.909	0.000	1.000	plus	plus	plus
0.12	0.0777295	0.00230646	0.0612245	0.0769409	0.00304098	0.135802	0.081638	0.0036924	0.272727	0.0822468	0.00308569	0.349112	0.0749611	0.00226679	0.333333	0.0707674	0.00242068	0.266436	0.0705938	0.00228224	0.196676	0.0654215	0.00199132	0.133787	0.0646558	0.00194924	~	?	0.011	0.989	0.004	0.996	0.000	1.000	plus	plus	plus
-0.72	0.16933	0.0070572	-0.632653	0.138738	0.0073297	-0.444444	0.123259	0.0056317	-0.347107	0.109873	0.00526766	-0.248521	0.0992624	0.0057799	-0.142222	0.0960024	0.00601357	-0.0692042	0.0915162	0.00582338	-0.0249307	0.0846185	0.00560739	-0.00453515	0.0801219	0.00541835	~	?	0.231	0.769	0.314	0.686	0.000	1.000	plus	plus	plus
-0.72	0.104282	0.00305313	-0.632653	0.0873629	0.00312421	-0.703704	0.0832693	0.00345743	-0.727273	0.0877989	0.00281189	-0.757396	0.0871172	0.0027159	-0.782222	0.082385	0.00279647	-0.771626	0.0811068	0.0028574	-0.739612	0.0844479	0.00297335	-0.666667	0.085187	0.00303544	~	?	0.966	0.034	0.845	0.155	0.525	0.475	minus	minus	minus
-0.72	0.114518	0.00130129	-0.714286	0.096236	0.00130884	-0.666667	0.0895433	0.00155603	-0.578512	0.0849287	0.00201809	-0.52071	0.0797975	0.0020326	-0.488889	0.0787171	0.00223701	-0.460208	0.0771544	0.00250013	-0.409972	0.0726966	0.00242621	-0.358277	0.0681869	0.00245727	~	?	0.997	0.003	0.366	0.634	0.959	0.041	minus	plus	minus
-1	0.085652	0.00201678	-0.959184	0.081135	0.00149321	-0.888889	0.0890036	0.00156642	-0.867769	0.0864042	0.00190828	-0.822485	0.101753	0.00397196	-0.724444	0.113269	0.00519661	-0.640138	0.111749	0.00462146	-0.576177	0.107274	0.00473696	-0.503401	0.104397	0.00496334	~	?	0.988	0.012	0.969	0.031	0.981	0.019	minus	minus	minus
-1	0.0711422	0.000942619	-1	0.063894	0.00072217	-0.901235	0.0612518	0.000495526	-0.867769	0.056749	0.000705413	-0.893491	0.0709335	0.00184411	-0.866667	0.0808316	0.00276373	-0.82699	0.077314	0.00253947	-0.822715	0.0755385	0.00267434	-0.823129	0.0799039	0.00294707	~	?	1.000	0.000	0.736	0.264	1.000	0.000	minus	minus	minus
-1	0.0355179	0.000116579	-1	0.0326953	0.000128995	-0.987654	0.030131	0.000129646	-0.991736	0.0340748	0.000290284	-0.994083	0.0443941	0.000934997	-0.991111	0.0535901	0.00132971	-0.958477	0.0570721	0.00143495	-0.911357	0.0562994	0.00138938	-0.863946	0.05557	0.0012902	~	?	0.997	0.003	0.984	0.016	1.000	0.000	minus	minus	minus
-0.2	0.113724	0.00284959	-0.306122	0.100075	0.00239028	-0.432099	0.0876429	0.00219047	-0.504132	0.0787809	0.00198206	-0.443787	0.0731182	0.00189953	-0.368889	0.0715052	0.0020389	-0.363322	0.0688287	0.00193847	-0.368421	0.0690319	0.00192406	-0.396825	0.0674732	0.00190595	~	?	0.516	0.484	0.105	0.895	0.280	0.720	minus	plus	plus
-0.64	0.104044	0.00225494	-0.693878	0.106595	0.00349828	-0.518519	0.0978251	0.0036531	-0.371901	0.0912368	0.00357636	-0.325444	0.0878706	0.00373913	-0.311111	0.0864941	0.00400649	-0.311419	0.0835139	0.00463283	-0.268698	0.0766484	0.0040877	-0.251701	0.071084	0.00381638	~	?	0.252	0.748	0.652	0.348	0.841	0.159	plus	minus	minus
-0.2	0.0747138	0.00109359	0.0612245	0.0672953	0.00103509	0.160494	0.0580307	0.00125133	0.272727	0.0568933	0.00159518	0.349112	0.052544	0.00144927	0.404444	0.0484966	0.00139067	0.391003	0.0476652	0.00129705	0.368421	0.0467003	0.00122777	0.333333	0.0452658	0.00117888	~	?	0.025	0.975	0.004	0.996	0.000	1.000	plus	plus	plus
-1	0.0854811	0.00229197	-0.897959	0.109113	0.00393548	-0.777778	0.101087	0.00409142	-0.528926	0.0958254	0.00410382	-0.366864	0.101088	0.00590306	-0.266667	0.0984592	0.00555274	-0.235294	0.0875356	0.00477714	-0.235457	0.0826267	0.00438401	-0.251701	0.0798051	0.00404547	~	?	0.862	0.138	0.770	0.230	0.844	0.156	minus	minus	minus
-0.2	0.0198883	0.000219494	-0.265306	0.0262273	0.000243065	-0.358025	0.0382031	0.00072506	-0.471074	0.0478736	0.0013291	-0.568047	0.0567746	0.00206919	-0.626667	0.0655945	0.00260036	-0.615917	0.0684161	0.00253987	-0.578947	0.0682209	0.00239347	-0.521542	0.0679184	0.00253548	~	?	0.998	0.002	0.973	0.027	1.000	0.000	minus	minus	minus
-0.6	0.110369	0.00293728	-0.510204	0.0923947	0.00280938	-0.407407	0.0859034	0.00241661	-0.38843	0.0782607	0.00232321	-0.325444	0.0702456	0.00226937	-0.297778	0.0664113	0.00230392	-0.280277	0.0639012	0.0024351	-0.263158	0.0613634	0.00248827	-0.269841	0.0593972	0.00258181	~	?	0.253	0.747	0.140	0.860	0.267	0.733	plus	plus	plus
-1	0.0502235	0.000617347	-0.959184	0.0600211	0.00151363	-0.876543	0.0664422	0.00161226	-0.702479	0.0681066	0.00159929	-0.597633	0.0670026	0.00165131	-0.502222	0.0644879	0.00160451	-0.508651	0.0655442	0.00168077	-0.523546	0.0651826	0.00166529	-0.560091	0.0644364	0.00166143	~	?	0.004	0.996	0.279	0.721	0.000	1.000	plus	plus	plus
-0.68	0.077378	0.00122175	-0.469388	0.078733	0.00103967	-0.358025	0.0755886	0.00145625	-0.305785	0.0733919	0.00127984	-0.289941	0.0672604	0.00108559	-0.315556	0.060356	0.00101053	-0.33564	0.0557908	0.00104079	-0.313019	0.0534803	0.000958232	-0.287982	0.0526154	0.00090674	~	?	0.016	0.984	0.080	0.920	0.000	1.000	plus	plus	plus
0.12	0.0617049	0.001484	0.142857	0.0582255	0.00133782	0.283951	0.0576407	0.00124515	0.355372	0.051599	0.00136545	0.384615	0.0484167	0.00124888	0.36	0.0464224	0.00102102	0.273356	0.0490774	0.00112681	0.229917	0.050252	0.00125895	0.192744	0.0476863	0.00109892	~	?	0.013	0.987	0.004	0.996	0.000	1.000	plus	plus	plus
-0.44	0.157617	0.00247826	-0.326531	0.120479	0.00739256	-0.259259	0.0968764	0.008268	-0.22314	0.0763657	0.0076471	-0.201183	0.0637351	0.00683828	-0.186667	0.0568345	0.00634108	-0.179931	0.0579462	0.00696079	-0.155125	0.0635585	0.00756641	-0.156463	0.0699426	0.00799126	~	?	0.884	0.116	0.980	0.020	0.709	0.291	minus	minus	minus
-1	0.0608474	0.000617728	-1	0.0693651	0.000781103	-0.938272	0.0647121	0.000841018	-0.92562	0.0631415	0.00091537	-0.928994	0.0698063	0.00146279	-0.924444	0.0778058	0.00224026	-0.868512	0.079051	0.00259205	-0.792244	0.0767393	0.00227004	-0.76644	0.0767724	0.00251355	~	?	1.000	0.000	0.812	0.188	1.000	0.000	minus	minus	minus
-0.04	0.0262646	0.000425117	-0.204082	0.0325485	0.000285122	-0.320988	0.0327167	0.000335265	-0.380165	0.0379168	0.000720552	-0.443787	0.0427501	0.00110683	-0.524444	0.0473473	0.00113577	-0.588235	0.0504484	0.00116973	-0.634349	0.0510359	0.00114937	-0.675737	0.0525285	0.00127894	~	?	0.997	0.003	0.966	0.034	1.000	0.000	minus	minus	minus
-1	0.0589276	0.0014427	-0.959184	0.084765	0.00398041	-0.901235	0.083905	0.00342674	-0.85124	0.0824117	0.00294894	-0.792899	0.082816	0.00277319	-0.733333	0.0794579	0.00260113	-0.705882	0.0852771	0.00317397	-0.67313	0.0872927	0.00323085	-0.628118	0.0862368	0.00296262	~	?	0.955	0.045	0.704	0.296	0.599	0.401	minus	minus	minus
-0.52	0.0941595	0.00159126	-0.183673	0.0837165	0.00163002	-0.0123457	0.072978	0.00134895	0.107438	0.0681263	0.00149933	0.195266	0.0642906	0.0013384	0.253333	0.0617864	0.00139274	0.252595	0.0629696	0.00154655	0.218837	0.0617081	0.00163005	0.160998	0.0673971	0.00226661	~	?	0.080	0.920	0.005	0.995	0.000	1.000	plus	plus	plus
-0.08	0.0478724	0.000674858	-0.163265	0.0498432	0.00177791	-0.222222	0.0672286	0.00530916	-0.231405	0.0840534	0.0065182	-0.254438	0.0960607	0.00728568	-0.272321	0.1019	0.00749978	-0.254355	0.101407	0.00667966	-0.203343	0.0980793	0.0061858	-0.154897	0.0934332	0.00585249	~	?	0.979	0.021	0.980	0.020	1.000	0.000	minus	minus	minus
-0.56	0.108248	0.000616926	-0.510204	0.0828004	0.00133818	-0.506173	0.0661562	0.00157896	-0.504132	0.0586858	0.00157547	-0.502959	0.0551601	0.00144701	-0.502222	0.0547998	0.00144177	-0.487889	0.0551897	0.00161163	-0.462604	0.0542002	0.00163717	-0.455782	0.0539357	0.00159789	~	?	0.968	0.032	0.756	0.244	0.804	0.196	minus	minus	minus
0	0.0273755	0.000351192	-0.0408163	0.0319011	0.000803408	-0.0740741	0.0378155	0.000901248	-0.123967	0.0459752	0.00124991	-0.189349	0.06047	0.0026714	-0.235556	0.0772405	0.0039998	-0.273356	0.0850808	0.0044442	-0.290859	0.0830191	0.00411435	-0.297052	0.0824263	0.00394788	~	?	0.935	0.065	0.954	0.046	0.946	0.054	minus	minus	minus
-0.6	0.0996742	0.00168024	-0.428571	0.0867018	0.00176453	-0.283951	0.0795479	0.00181551	-0.107438	0.0703437	0.00227221	-0.0177515	0.063128	0.00232273	-0.0133333	0.0603019	0.0022619	-0.00346021	0.0585689	0.00221394	0.0304709	0.0581725	0.00235743	0.0612245	0.0593461	0.00282237	~	?	0.009	0.991	0.013	0.987	0.000	1.000	plus	plus	plus
-0.12	0.049861	0.000814637	0.183673	0.0556529	0.00141784	0.358025	0.0499993	0.00119954	0.471074	0.0423751	0.00108976	0.538462	0.0398689	0.0009743	0.591111	0.0357681	0.0009243	0.626298	0.0328272	0.000843855	0.65097	0.0307643	0.000761461	0.655329	0.0289691	0.000688216	~	?	0.044	0.956	0.004	0.996	0.000	1.000	plus	plus	plus
-0.28	0.108461	0.00403684	-0.387755	0.132424	0.00414843	-0.506173	0.140279	0.00362725	-0.487603	0.128571	0.00344942	-0.455621	0.115698	0.00398109	-0.448889	0.108489	0.00381131	-0.432526	0.101324	0.00359054	-0.401662	0.0918215	0.00360781	-0.360544	0.0844098	0.00338929	~	?	0.039	0.961	0.105	0.895	0.001	0.999	plus	plus	plus
-1	0.042264	0.000563496	-1	0.0516595	0.000896745	-1	0.0637714	0.00163714	-0.983471	0.0680941	0.00150957	-0.928994	0.0637629	0.00127351	-0.893333	0.060214	0.00124175	-0.858131	0.0606541	0.00134535	-0.828255	0.0605875	0.0015295	-0.823129	0.0625758	0.00172676	~	?	0.990	0.010	0.707	0.293	1.000	0.000	minus	minus	minus
-0.2	0.0702885	0.00267799	0.0612245	0.0591018	0.00184841	0.185185	0.0586978	0.00161092	0.22314	0.055798	0.00158362	0.195266	0.0575349	0.00175863	0.164444	0.064278	0.0023381	0.148789	0.0659946	0.00237572	0.152355	0.0650022	0.00223731	0.142857	0.0663704	0.00223491	~	?	0.022	0.978	0.005	0.995	0.000	1.000	plus	plus	plus
-0.12	0.0878428	0.00265097	-0.306122	0.0705878	0.00185458	-0.45679	0.0768523	0.00182505	-0.438017	0.0824379	0.0028371	-0.349112	0.0792245	0.00292028	-0.271111	0.0720141	0.00272158	-0.280277	0.072587	0.00277278	-0.32687	0.0719235	0.00281361	-0.371882	0.0696076	0.00275693	~	?	0.006	0.994	0.127	0.873	0.000	1.000	plus	plus	plus
-1	0.063714	0.00054779	-1	0.0459411	0.00104582	-1	0.0569181	0.00154182	-1	0.0621154	0.00175727	-0.976331	0.062829	0.00184993	-0.893333	0.0634357	0.00185053	-0.782007	0.0609617	0.00188539	-0.725762	0.061546	0.00195162	-0.662132	0.0649302	0.00227372	~	?	0.922	0.078	0.731	0.269	0.273	0.727	minus	minus	plus
-1	0.0275996	0.000147099	-1	0.0344431	0.00033378	-1	0.0356773	0.000443651	-1	0.035204	0.000482103	-1	0.0373427	0.000581349	-1	0.0422643	0.000740346	-0.986159	0.047732	0.000773658	-0.955679	0.0499606	0.00087828	-0.904762	0.0509007	0.000852296	~	?	1.000	0.000	0.969	0.031	1.000	0.000	minus	minus	minus
-0.28	0.0738259	0.00160171	-0.306122	0.0696853	0.00173756	-0.234568	0.0697943	0.00144119	-0.140496	0.0688125	0.00170913	-0.0177515	0.0662702	0.00215373	0.0488889	0.0650468	0.00238727	0.0795848	0.0656514	0.00267088	0.0747922	0.0676399	0.00279618	0.0929705	0.0666456	0.00277572	~	?	0.005	0.995	0.013	0.987	0.000	1.000	plus	plus	plus
-1	0.06455	0.000768227	-1	0.0466574	0.00103429	-1	0.0541346	0.00149632	-1	0.0594498	0.00171022	-0.988166	0.0605304	0.00182042	-0.893333	0.0620034	0.00193981	-0.778547	0.0609059	0.00200892	-0.698061	0.061904	0.00208576	-0.612245	0.0647496	0.00236787	~	?	0.933	0.067	0.626	0.374	0.100	0.900	minus	minus	plus
0.12	0.064336	0.00188659	0.0612245	0.0532621	0.0013614	-0.0123457	0.0573262	0.00158997	-0.0413223	0.0570426	0.00141849	-0.0177515	0.0537642	0.00140183	0.00444444	0.0520418	0.00131205	-0.0103806	0.0504752	0.00129096	-0.0470914	0.0510076	0.00123949	-0.0702948	0.0507814	0.00124092	~	?	0.020	0.980	0.107	0.893	0.000	1.000	plus	plus	plus
-0.68	0.187072	0.006826	-0.795918	0.148949	0.00575467	-0.814815	0.128833	0.00522044	-0.867769	0.114232	0.00473307	-0.893491	0.10331	0.00422475	-0.906667	0.0988631	0.00392716	-0.892734	0.0972064	0.00408549	-0.847645	0.090766	0.00371962	-0.798186	0.081391	0.00348494	~	?	0.779	0.221	0.437	0.563	0.598	0.402	minus	plus	minus
-0.64	0.138442	0.00527817	-0.632653	0.146395	0.00411137	-0.654321	0.132974	0.00403496	-0.677686	0.110313	0.00445159	-0.733728	0.0975675	0.00435929	-0.746667	0.0924946	0.00444422	-0.730104	0.0852527	0.00401412	-0.703601	0.0802671	0.00366069	-0.664399	0.0764407	0.00364028	~	?	0.940	0.060	0.463	0.537	0.564	0.436	minus	plus	minus
-0.28	0.0658929	0.000848134	-0.0612245	0.0652072	0.00186562	0.135802	0.0640667	0.00197114	0.289256	0.0584062	0.00202643	0.372781	0.0568742	0.0025222	0.422222	0.0592869	0.00364641	0.439446	0.0586438	0.00346378	0.409972	0.0586666	0.00343147	0.414966	0.0593348	0.00347214	~	?	0.024	0.976	0.005	0.995	0.000	1.000	plus	plus	plus
-1	0.0640935	0.00204164	-0.959184	0.086641	0.00391142	-0.876543	0.0869667	0.00331575	-0.793388	0.0835826	0.00366477	-0.727811	0.082786	0.00363208	-0.666667	0.0800065	0.00337774	-0.598616	0.0775328	0.00351486	-0.518006	0.0747888	0.00373501	-0.451247	0.0722684	0.00386676	~	?	0.899	0.101	0.826	0.174	0.626	0.374	minus	minus	minus
-0.96	0.0293393	0.000383751	-0.959184	0.027687	0.000319661	-0.925926	0.0294209	0.000301899	-0.892562	0.0359824	0.000961251	-0.87574	0.0423409	0.00162067	-0.822222	0.0458457	0.00142062	-0.778547	0.0484333	0.00123471	-0.781163	0.0517063	0.00129905	-0.770975	0.0516743	0.00134156	~	?	1.000	0.000	0.992	0.008	1.000	0.000	minus	minus	minus
-0.2	0.123076	0.0034103	-0.265306	0.108398	0.00452868	-0.382716	0.114831	0.00532953	-0.421488	0.0999682	0.0047098	-0.473373	0.0889267	0.0042038	-0.542222	0.082527	0.00385849	-0.626298	0.0776353	0.00363694	-0.66205	0.0736238	0.00359886	-0.671202	0.0678106	0.00338027	~	?	0.297	0.703	0.460	0.540	0.026	0.974	plus	plus	plus
-0.48	0.048432	0.000547257	-0.55102	0.0383984	0.00035566	-0.54321	0.043695	0.000470626	-0.553719	0.0557683	0.00101001	-0.585799	0.0583347	0.00117372	-0.64	0.0668654	0.00212102	-0.681661	0.0727794	0.0024551	-0.692521	0.0733941	0.00277629	-0.662132	0.0738091	0.00292441	~	?	0.996	0.004	0.840	0.160	0.966	0.034	minus	minus	minus
-0.12	0.0645189	0.000814696	-0.163265	0.0646968	0.0017391	-0.209877	0.0602577	0.00172641	-0.231405	0.0508729	0.00158847	-0.224852	0.0513283	0.00186832	-0.208889	0.0496958	0.00192338	-0.217993	0.0482411	0.00189471	-0.235457	0.0501026	0.00210997	-0.256236	0.0501616	0.00213472	~	?	0.962	0.038	0.553	0.447	0.994	0.006	minus	minus	minus
-0.2	0.0656441	0.00134237	-0.0204082	0.0800549	0.00226008	0.037037	0.0958319	0.00664154	0.115702	0.0905699	0.00633204	0.130178	0.0838798	0.00510048	0.137778	0.0837387	0.00510379	0.204152	0.0797461	0.00490064	0.263158	0.0747891	0.00429383	0.333333	0.0695447	0.00379247	~	?	0.036	0.964	0.049	0.951	0.000	1.000	plus	plus	plus
-0.72	0.123856	0.000311951	-0.530612	0.100105	0.000791958	-0.45679	0.0859445	0.00138389	-0.53719	0.103649	0.00295583	-0.526627	0.118398	0.00647208	-0.408889	0.117807	0.00609714	-0.32526	0.107129	0.00565249	-0.246537	0.100672	0.00570439	-0.183673	0.0938483	0.00538104	~	?	0.988	0.012	0.887	0.113	0.873	0.127	minus	minus	minus
-0.84	0.0799898	0.0014868	-0.510204	0.0749562	0.00181494	-0.358025	0.0703317	0.0013705	-0.272727	0.0646999	0.00131947	-0.207101	0.0608177	0.00117346	-0.173333	0.0566018	0.00102359	-0.114187	0.0526984	0.000943578	-0.0803324	0.0485281	0.000907073	-0.0521542	0.0457052	0.000867044	~	?	0.011	0.989	0.007	0.993	0.000	1.000	plus	plus	plus
-1	0.0824855	0.00110089	-0.959184	0.0714618	0.0015974	-0.703704	0.0670917	0.00155797	-0.553719	0.0649941	0.00165047	-0.443787	0.0637257	0.00169386	-0.377778	0.0614413	0.00164815	-0.342561	0.0619797	0.00182531	-0.3241	0.0625529	0.00206241	-0.315193	0.0629172	0.00205058	~	?	0.959	0.041	0.276	0.724	0.967	0.033	minus	plus	minus
-1	0.106725	0.00232198	-0.836735	0.0931593	0.0016753	-0.728395	0.0807474	0.00164029	-0.636364	0.0759531	0.00182752	-0.550296	0.0745127	0.0015657	-0.448889	0.0760427	0.00184716	-0.394464	0.0761203	0.00192506	-0.351801	0.0762708	0.00190915	-0.353741	0.0774598	0.00211893	~	?	0.139	0.861	0.206	0.794	0.030	0.970	plus	plus	plus
-0.84	0.0489558	0.000959671	-0.673469	0.0517121	0.00158046	-0.530864	0.0630277	0.00216221	-0.438017	0.0637467	0.00198114	-0.408284	0.059169	0.00202707	-0.36	0.0622363	0.00213167	-0.32872	0.0609418	0.00210787	-0.307479	0.061003	0.00226382	-0.301587	0.0598385	0.0021831	~	?	0.162	0.838	0.460	0.540	0.529	0.471	plus	minus	minus
-0.44	0.112481	0.0019185	-0.510204	0.0860551	0.00172289	-0.493827	0.0776226	0.00206706	-0.471074	0.0752781	0.00271183	-0.443787	0.0768797	0.00296504	-0.435556	0.0789815	0.0038262	-0.449827	0.0884411	0.00488226	-0.448753	0.0988323	0.00646165	-0.437642	0.0987997	0.00637013	~	?	0.999	0.001	0.984	0.016	0.976	0.024	minus	minus	minus
-0.52	0.0754023	0.001144	-0.183673	0.087112	0.00213821	0.0617284	0.080213	0.0018826	0.173554	0.0754696	0.002422	0.230769	0.0770385	0.00276953	0.28	0.0741489	0.00272534	0.311419	0.0725758	0.00259164	0.268698	0.0712206	0.00261164	0.23356	0.0711879	0.00263329	~	?	0.017	0.983	0.007	0.993	0.000	1.000	plus	plus	plus
-0.28	0.0942513	0.0020893	-0.142857	0.0786728	0.001576	0.0123457	0.0690347	0.00156477	0.140496	0.0616204	0.00152364	0.12426	0.0588631	0.00178163	0.0488889	0.0561486	0.00170202	-0.0242215	0.0567936	0.0016883	-0.0581717	0.057437	0.00173475	-0.0430839	0.0571723	0.00166908	~	?	0.048	0.952	0.005	0.995	0.000	1.000	plus	plus	plus
-0.52	0.0594061	0.000658669	-0.142857	0.0590789	0.000994161	0.0123457	0.0570051	0.00094573	0.0413223	0.0548949	0.00105334	0.0414201	0.0557135	0.00105474	-0.00444444	0.0541923	0.00103339	-0.0484429	0.0535905	0.00104145	-0.0775623	0.0563233	0.00118011	-0.0952381	0.057447	0.001209	~	?	0.013	0.987	0.022	0.978	0.000	1.000	plus	plus	plus
-1	0.0138392	7.70977e-005	-1	0.0168791	0.000126851	-0.975309	0.0233972	0.0002515	-0.983471	0.0321795	0.000913809	-0.964497	0.0426013	0.00139786	-0.951111	0.0516617	0.00204879	-0.941176	0.0559505	0.00210565	-0.919668	0.0578136	0.00195822	-0.879819	0.0573867	0.0018915	~	?	0.838	0.162	0.996	0.004	1.000	0.000	minus	minus	minus
